st_ia_airport_code,st_ia_airport_name,st_ia_airport_state_code
ABE,ABERDEEN,WA
ADS,ADDISON AIRPORT- ADDISON,TX
AGA,AGANA,GU
AGU,AGUADILLA,PR
BOI,AIR TERM. (GOWEN FLD) BOISE,ID
AKR,AKRON,OH
CAK,AKRON,OH
ALA,ALAMAGORDO,NM
ALB,ALBANY,NY
CHO,ALBEMARLE CHARLOTTESVILLE,VA
ABQ,ALBUQUERQUE,NM
ABG,ALBURG,VT
ABS,ALBURG SPRINGS,VT
ALC,ALCAN,AK
AXB,ALEXANDRIA BAY,NY
AGM,ALGOMA,WI
AGN,ALGONAC,MI
ALP,ALPENA,MI
AMB,AMBROSE,ND
ADT,AMISTAD DAM,TX
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS
ANA,ANACORTES,WA
ANC,ANCHORAGE,AK
AND,ANDRADE,CA
ADW,ANDREWS AFB,MD
ANP,ANTELOPE WELLS,NM
ANT,ANTLER,ND
ANZ,ANZALDUAS,TX
APA,ARAPAHOE COUNTY,CO
ARB,ARUBA NETH,ANTILLES
ATB,ASHTABULA,OH
ASE,ASPEN,CO
AST,ASTORIA,OR
ATL,ATLANTA,GA
AUS,AUSTIN,TX
MAA,Abu Dhabi,Invalid State Code
BAR,BAKER AAF - BAKER ISLAND,AK
BAL,BALTIMORE,MD
BGM,BANGOR,ME
BAN,BANKOK,THAILAND
BHM,BAR HARBOR,ME
BTN,BATON ROUGE,LA
BAU,BAUDETTE,MN
BCY,BAY CITY,MI
BAY,BAYFIELD,WI
BYO,BAYONNE,NJ
BEA,BEAUMONT,TX
BEB,BEEBE PLAIN,VT
BEE,BEECHER FALLS,VT
BEI,BEICA #ARPT,ETHIOPIA
PEK,BEIJING CAPITAL INTL,PRC
BEL,BELLINGHAM,WA
BLI,BELLINGHAM,WASHINGTON
BBP,BIG BEND PARK,TX
BIL,BILLINGS,MT
GPT,BILOXI REGIONAL,MS
BHX,BIRMINGHAM,AL
SPF,BLACK HILLS SPEARFISH,SD
BLA,BLAINE,WA
LEX,BLUE GRASS - LEXINGTON,KY
BOC,BOCAGRANDE,FL
BOG,BOGOTA EL DORADO #ARPT,COLOMBIA
BOO,BOOTHBAY HARBOR,ME
BQN,BORINQUEN - AGUADILLO,PR
BOS,BOSTON,MA
BWA,BOUNDARY,WA
SCC,BP SPEC COORD. CTR,TX
BTC,BP TACTICAL UNIT,TX
SRQ,BRADENTON - SARASOTA,FL
BDL,BRADLEY INTERNATIONAL,CT
BOA,BRIDGE OF AMERICAS,TX
BGC,BRIDGEPORT,CT
BWM,BRIDGEWATER,ME
BRO,BROWNSVILLE,TX
BRU,BRUNSWICK,GA
BCK,BUCKPORT,ME
EZE,BUENOS AIRES MINISTRO PIST,ARGENTINA
BUF,BUFFALO,NY
BUR,BURBANK,CA
BRG,BURLINGTON,VT
AGS,BUSH FIELD - AUGUSTA,GA
BTM,BUTTE,MT
LGU,CACHE AIRPORT - LOGAN,UT
CLS,CALAIS,ME
CAL,CALEXICO,CA
CLG,CALGARY,CANADA
CNJ,CAMDEN,NJ
CAO,CAMPO,CA
CNA,CANAAN,VT
CUN,CANCUN,MEXICO
CNC,CANNON CORNERS,NY
CNH,CANNON CORNERS,NY
RNO,CANNON INTL - RENO/TAHOE,NV
CAN,CAPE CANAVERAL,FL
CAP,CAPE VINCENT,NY
SPI,CAPITAL - SPRINGFIELD,IL
CRQ,CARAVELAS BA #ARPT,BRAZIL
CRY,CARBURY,ND
CRB,CARIBOU,ME
CAR,CARIBOU MUNICIPAL AIRPORT,MN
CRL,CARLSBAD,NM
MVD,CARRASCO,URUGUAY
CSP,CASPER,WY
CID,CEDAR RAPIDS/IOWA CITY,IA
CHM,CHAMPLAIN,NY
CHL,CHARLESTON,SC
CHS,CHARLESTON,WV
CLT,CHARLOTTE,NC
CHA,CHARLOTTE AMALIE,VI
CHT,CHATEAUGAY,NY
CHI,CHICAGO,IL
CHF,CHIEF MT,MT
CHR,CHRISTIANSTED,VI
CIN,CINCINNATI,OH
CLK,CLARKSBURG,WV
CLA,CLAYTON,NY
CLE,CLEVELAND,OH
COB,COBURN GORE,ME
COS,COLORADO SPRINGS,CO
CAE,COLUMBIA,SC
CLM,COLUMBUS,OH
COL,COLUMBUS,NM
COO,COOS BAY,OR
CRP,CORPUS CHRISTI,TX
CRA,CRANE LAKE,MN
CDD,CRANE LAKE - ST. LOUIS CNTY,NM
CRU,CRUZ BAY ST JOHN,VI
MIC,CRYSTAL MUNICIPAL AIRPORT,MN
JCP,CULEBRA - BENJAMIN RIVERA,PR
CUR,CURLEW,WA
CUT,CUT BANK,MT
CTB,CUT BANK MUNICIPAL,MT
GTF,Collapsed into INT,MN
INL,Collapsed into INT,MN
DAL,DALLAS,TX
DAC,DALTONS CACHE,AK
DVL,DANVILLE,WA
DAA,DAVISON AAF - FAIRFAX CNTY,VA
DAB,DAYTONA BEACH INTERNATIONAL,FL
DLB,DEL BONITA,MT
DLR,DEL RIO,TX
DNM,DEMING,NM
DEN,DENVER,CO
DER,DERBY LINE VT (RT. 5),VT
DLV,DERBY LINE VT (RT. 5),VT
DSM,DES MOINES,IA
DET,DETROIT,MI
PIZ,DEW STATION PT LAY DEW,AK
DNA,DONNA,TX
DOU,DOUGLAS,AZ
DOV,DOVER AFB,Invalid State Code
DUB,DUBLIN,IRELAND
DUL,DULUTH,MN
DNS,DUNSEITH,ND
DPA,DUPAGE COUNTY,IL
DTH,DUTCH HARBOR,AK
EGL,EAGLE,AK
EGP,EAGLE PASS,TX
ERC,EAST RICHFORD,VT
EST,EASTCOURT,ME
EPI,EASTPORT,ID
EPM,EASTPORT,ME
EPT,EASTPORT MUNICIPAL,ME
EDA,EDMONTON,CANADA
ELP,EL PASO,TX
ELY,ELY,MN
ENS,ENSENADA,PR
ERI,ERIE,PA
EUR,EUREKA,MT
EVE,EVERETT,WA
FAB,FABENS,TX
FRB,FAIRBANKS,AK
FAJ,FAJARDO,PR
FAL,FALCON HEIGHTS,TX
FLX,FALLON MUNICIPAL AIRPORT,NV
IDA,FANNING FIELD - IDAHO FALLS,ID
FAR,FARGO,ND
FAY,FAYETTEVILLE,NC
FRN,FERNANDINA,FL
FER,FERRY,WA
FOR,FOREST CITY,ME
FTC,FORT COVINGTON,NY
FTF,FORT FAIRFIELD,ME
FTH,FORT HANCOCK,TX
FTK,FORT KENT,ME
FTL,FORT LAUDERDALE,FL
FMY,FORT MYERS,FL
FPF,FORT PIERCE,FL
AFW,FORT WORTH ALLIANCE,TX
FRT,FORTUNA,ND
FOU,FOUGAMOU #ARPT,GABON
FRK,FREDERIKSTED,VI
FBA,FREEPORT,BAHAMAS
FPT,FREEPORT,TX
FRE,FRESNO,CA
FRI,FRIDAY HARBOR,WA
FWA,FRONTIER,WA
BZN,GALLATIN FIELD - BOZEMAN,MT
GAL,GALVESTON,TX
GAR,GARY,IN
MTY,GEN M. ESCOBEDO Monterrey,MX
HMO,GEN PESQUEIRA GARCIA,MX
GEO,GEORGETOWN,SC
FCA,GLACIER NATIONAL PARK,MT
GGW,GLASGOW,MT
GLO,GLOUCESTER,MA
GTR,GOLDEN TRIANGLE LOWNDES CNTY,MS
GCM,GRAND CAYMAN CAYMAN,ISLAND
GRF,GRAND FORKS,ND
GPM,GRAND PORTAGE,MN
GRP,GRAND RAPIDS,MI
SVC,GRANT COUNTY - SILVER CITY,MN
GRE,GREAT FALLS,MT
PIA,GREATER PEORIA,IL
RFD,GREATER ROCKFORD,IL
GRB,GREEN BAY,WI
GSP,GREENVILLE,SC
GRR,GREER,SC
GRO,GROSSE ISLE,MI
GRT,GROTON,CT
GDL,GUADALAJARA MIGUEL HIDAL,MX
GRU,GUARULHOS INTL SAO PAULO,BRAZIL
GUL,GULFPORT,MS
YHC,HAKAI PASS,CANADA
HML,HAMIIN,ME
HAM,HAMILTON,BERMUDA
HMM,HAMMOND,IN
HNN,HANNAH,ND
HNS,HANSBORO,ND
BED,HANSCOM FIELD - BEDFORD,MA
HLG,HARLINGEN,TX
MDT,HARRISBURG,PA
HSB,HARRISONBURG,PA
HAR,HARTFORD,CT
HVR,HAVRE,MT
HEL,HELENA,MT
HID,HIDALGO,TX
HIG,HIGHGATE SPRINGS,VT
HIO,HILLSBORO,OR
HOB,HOBOKEN,NJ
HOM,HOMER,AK
HHW,HONOLULU,HI
HOP,HOPEWELL,VA
HTM,HOULTON,ME
HOU,HOUSTON,TX
HON,HOWES REGIONAL ARPT - HURON,SD
SGR,HULL FIELD SUGAR LAND ARPT,TX
HUM,HUMACAO,PR
HUR,HURLBURT FIELD,FL
HYD,HYDER,AK
HAL,Halifax NS,Canada
ICP,IMPERIAL COUNTY,CA
ICN,INCHON SEOUL,KOREA
INP,INDIANAPOLIS,IN
INT,INT''L FALLS,MN
ISL,ISLE ROYALE,MI
IWA,IWAKUNI,JAPAN
.GA,Invalid Airport Entry,Invalid State Code
060,Invalid Airport Entry,Invalid State Code
5T6,Invalid Airport Entry,Invalid State Code
74S,Invalid Airport Entry,Invalid State Code
888,Invalid Airport Entry,Invalid State Code
A2A,Invalid Airport Entry,Invalid State Code
ADU,Invalid Airport Entry,Invalid State Code
AG,Invalid Airport Entry,Invalid State Code
AKT,Invalid Airport Entry,Invalid State Code
AMT,Invalid Airport Entry,Invalid State Code
ASI,Invalid Airport Entry,Invalid State Code
ATW,Invalid Airport Entry,Invalid State Code
AUH,Invalid Airport Entry,Invalid State Code
BCM,Invalid Airport Entry,Invalid State Code
BKF,Invalid Airport Entry,Invalid State Code
BUS,Invalid Airport Entry,Invalid State Code
CHN,Invalid Airport Entry,Invalid State Code
CLX,Invalid Airport Entry,Invalid State Code
CP,Invalid Airport Entry,Invalid State Code
CPX,Invalid Airport Entry,Invalid State Code
CXO,Invalid Airport Entry,Invalid State Code
DAY,Invalid Airport Entry,Invalid State Code
DEC,Invalid Airport Entry,Invalid State Code
DRV,Invalid Airport Entry,Invalid State Code
DVD,Invalid Airport Entry,Invalid State Code
EGE,Invalid Airport Entry,Invalid State Code
FRG,Invalid Airport Entry,Invalid State Code
FSC,Invalid Airport Entry,Invalid State Code
FTB,Invalid Airport Entry,Invalid State Code
GAC,Invalid Airport Entry,Invalid State Code
GMT,Invalid Airport Entry,Invalid State Code
GPI,Invalid Airport Entry,Invalid State Code
HRL,Invalid Airport Entry,Invalid State Code
IAG,Invalid Airport Entry,Invalid State Code
ISP,Invalid Airport Entry,Invalid State Code
JBQ,Invalid Airport Entry,Invalid State Code
JFA,Invalid Airport Entry,Invalid State Code
JIG,Invalid Airport Entry,Invalid State Code
JMZ,Invalid Airport Entry,Invalid State Code
JSJ,Invalid Airport Entry,Invalid State Code
LIT,Invalid Airport Entry,Invalid State Code
MTH,Invalid Airport Entry,Invalid State Code
NC8,Invalid Airport Entry,Invalid State Code
NGL,Invalid Airport Entry,Invalid State Code
NK,Invalid Airport Entry,Invalid State Code
NYL,Invalid Airport Entry,Invalid State Code
OAI,Invalid Airport Entry,Invalid State Code
OGS,Invalid Airport Entry,Invalid State Code
OLM,Invalid Airport Entry,Invalid State Code
OSN,Invalid Airport Entry,Invalid State Code
OTS,Invalid Airport Entry,Invalid State Code
PCW,Invalid Airport Entry,Invalid State Code
PFN,Invalid Airport Entry,Invalid State Code
PHF,Invalid Airport Entry,Invalid State Code
PHN,Invalid Airport Entry,Invalid State Code
PLB,Invalid Airport Entry,Invalid State Code
RYY,Invalid Airport Entry,Invalid State Code
SCH,Invalid Airport Entry,Invalid State Code
SP0,Invalid Airport Entry,Invalid State Code
STN,Invalid Airport Entry,Invalid State Code
SUS,Invalid Airport Entry,Invalid State Code
T01,Invalid Airport Entry,Invalid State Code
TIW,Invalid Airport Entry,Invalid State Code
UNK,Invalid Airport Entry,Invalid State Code
VMB,Invalid Airport Entry,Invalid State Code
W55,Invalid Airport Entry,Invalid State Code
WA5,Invalid Airport Entry,Invalid State Code
WTR,Invalid Airport Entry,Invalid State Code
X44,Invalid Airport Entry,Invalid State Code
X96,Invalid Airport Entry,Invalid State Code
XNA,Invalid Airport Entry,Invalid State Code
XXX,Invalid Airport Entry,Invalid State Code
Y62,Invalid Airport Entry,Invalid State Code
YGF,Invalid Airport Entry,Invalid State Code
GNV,J R ALISON MUNI - GAINESVILLE,FL
JKM,JACKMAN,ME
JAC,JACKSONVILLE,FL
JER,JERSEY CITY,NJ
JOB,JOBOS,PR
MEX,JUAREZ INTL MEXICO CITY,MX
LLB,JUAREZ-LINCOLN BRIDGE,TX
JUN,JUNEAU,AK
OGG,KAHULUI - MAUI,HI
KLM,KALAMA,WA
KAL,KALISPEL,MT
KAN,KANSAS CITY,MO
KOA,KEAHOLE-KONA,HI
5KE,KETCHIKAN,AK
KET,KETCHIKAN,AK
KEY,KEY WEST,FL
BDA,KINDLEY FIELD,BERMUDA
CND,KOGALNICEANU,ROMANIA
LAG,LA GUARDIA,NY
DRO,LA PLATA - DURANGO,CO
LAH,LABUHA ARPT,INDONESIA
LAK,LAKE CHARLES,LA
LKC,LAKE CHARLES,LA
LAN,LANCASTER,MN
LND,LANDER,WY
LAR,LAREDO,TX
LCB,LAREDO COLUMBIA BRIDGE,TX
LRN,LAREDO NORTH,TX
LAS,LAS CRUCES,NM
LVG,LAS VEGAS,NV
LAU,LAURIER,WA
LEB,LEBANON,NH
LEE,LEESBURG MUNICIPAL AIRPORT,FL
LEW,LEWISTON,NY
LWT,LEWISTON,MT
LIH,LIHUE,HI
LIM,LIMESTONE,ME
LIA,LITTLE ROCK,AR
LNB,LONG BEACH,CA
LON,LONGVIEW,WA
LOR,LORAIN,OH
LOB,LORDSBURG,NM
LOS,LOS ANGELES,CA
LSE,LOS EBANOS,TX
IND,LOS INDIOS,TX
LOI,LOS INDIOS,TX
DUR,LOUIS BOTHA,SOUTH AFRICA
LOU,LOUISVILLE,KY
LUB,LUBEC,ME
LUK,LUKEVILLE,AZ
LYN,LYNDEN,WA
MAD,MADAWASKA,ME
HSV,MADISON COUNTY - HUNTSVILLE,AL
AG0,MAGNOLIA,AR
MAI,MAIDA,ND
HEF,MANASSAS,VA
MHT,MANCHESTER,NH
MAL,MANGOLE ARPT,INDONESIA
MNW,MANITOWOC,WI
MBO,MARBLE HEADS,OH
MAR,MARFA,TX
MRS,MARFA,TX
MRC,MARINE CITY,MI
MAP,MARIPOSA,AZ
MRY,MARYSVILLE,MI
MAS,MASSENA,NY
MAY,MAYAGUEZ,PR
TYS,MC GHEE TYSON - ALCOA,TN
WRI,MC GUIRE AFB - WRIGHTSOWN,NJ
MCA,MCALLEN,TX
MAG,MCGUIRE AFB,NY
BFL,MEADOWS FIELD - BAKERSFIELD,CA
MDE,MEDELLIN,COLOMBIA
MED,MEDFORD,OR
MLB,MELBOURNE,FL
UGN,MEMORIAL - WAUKEGAN,IL
MEM,MEMPHIS,TN
BLF,MERCER COUNTY,WV
MRL,MERRILLVILLE,IN
MET,METALINE FALLS,WA
ZZZ,MEXICO Land (Banco de,Mexico
MIA,MIAMI,FL
ICT,MID-CONTINENT - WITCHITA,KS
LHR,MIDDLESEX,ENGLAND
MIL,MILWAUKEE,WI
MSP,MINN./ST PAUL,MN
MND,MINOT,ND
MOB,MOBILE,AL
MLI,MOLINE,IL
MLU,MONROE,LA
MON,MONTREAL,CANADA
MOO,MOORES,NY
MRH,MOREHEAD CITY,NC
MGM,MORGAN,MT
MGC,MORGAN CITY,LA
FOP,MORRIS FIELDS AAF,NC
MMU,MORRISTOWN,NJ
MRR,MORRISTOWN,NY
MOR,MORSES LINE,VT
MWH,MOSES LAKE GRANT COUNTY ARPT,WA
MOS,MOSES POINT INTERMEDIATE,AK
MKG,MUSKEGON,MD
MYR,MYRTLE BEACH,SC
NAC,NACO,AZ
NBO,NAIROBI,KENYA
APF,NAPLES,FL
NSV,NASHVILLE,TN
NAS,NASSAU,BAHAMAS
NEA,NEAH BAY,WA
NEC,NECHE,ND
NWH,NEW HAVEN,CT
NWL,NEW LONDON,CT
NOL,NEW ORLEANS,LA
NYC,NEW YORK,NY
NEW,NEWARK/TETERBORO,NJ
TST,NEWINGTON DATA CENTER TEST,CT
NPT,NEWPORT,OR
NPV,NEWPORT,VT
NWN,NEWPORT,VA
NIA,NIAGARA FALLS,NY
NIG,NIGHTHAWK,WA
NIK,NIKISKI,AK
NOG,NOGALES,AZ
NOM,NOM,AK
NOO,NOONAN,ND
NOR,NORFOLK,VA
NCA,NORTH CAICOS TURK &,CAIMAN
NRT,NORTH TROY,VT
LIN,NORTHERN SVC CENTER,MN
NRG,NORTHGATE,ND
NRN,NORTON,VT
NOY,NOYES,MN
OAK,OAKLAND,CA
PTK,OAKLAND COUNTY - PONTIAC,MI
MAF,ODESSA REGIONAL,TX
OGD,OGDENSBURG,NY
OKC,OKLAHOMA CITY,OK
OLY,OLYMPIA,WA
OMA,OMAHA,NE
PTY,OMAR TORRIJOS,PANAMA
ONT,ONTARIO,CA
OPF,OPA LOCKA,FL
OPH,OPHEIM,MT
ORL,ORLANDO,FL
ORO,OROVILLE,WA
OSW,OSWEGO,NY
OTM,OTAY MESA,CA
OTT,OTTAWA,CANADA
BLT,PACIFIC HWY. STATION,CA
PSP,PALM SPRINGS,CA
PAN,PANAMA CITY,FL
SPV,PAPUA NEW,GUINEA
PAS,PASCAGOULA,MS
PWB,PASCO,WA
PDN,PASO DEL NORTE,TX
PAX,PATUXENT RIVER,MD
PBB,PEACE BRIDGE,NY
PEM,PEMBINA,ND
PEN,PENSACOLA,FL
PER,PERTH AMBOY,NJ
PHR,PHARR,TX
PHI,PHILADELPHIA,PA
PHO,PHOENIX,AZ
GSO,PIEDMONT TRIAD INTL AIRPORT,NC
PIE,PIEGAN,MT
PIN,PINE CREEK,MN
48Y,PINECREEK BORDER ARPT,MN
PIV,PINNACLE ROAD,VT
PIT,PITTSBURG,PA
PNH,PITTSBURG,NH
PIR,POINT ROBERTS,WA
PKC,POKER CREEK,AK
ACY,POMONA FIELD - ATLANTIC CITY,NJ
PON,PONCE,PR
PSE,PONCE-MERCEDITA,PR
PNG,PORT ANGELES,WA
PAR,PORT ARTHUR,TX
PCF,PORT CANAVERAL,FL
PEV,PORT EVERGLADES,FL
PHU,PORT HURON,MI
ISB,PORT ISABEL,TX
ORI,PORT LIONS SPB,AK
POE,PORT OF EL PASO,TX
PSJ,PORT ST JOE,FL
PTO,PORT TOWNSEND,WA
POR,PORTAL,AZ
PTL,PORTHILL,ID
POM,PORTLAND,ME
POO,PORTLAND,OR
PSM,PORTSMOUTH,NH
PRE,PRESIDIO,TX
PGR,PROGRESO,TX
PRO,PROVIDENCE,RI
PUT,PUT-IN-BAY,OH
UIO,QUITO (MARISCAL SUCR),ECUADOR
RAN,RAINER,MN
RDU,RALEIGH/DURHAM,NC
RGM,RANGELEY,ME
RAY,RAYMOND,MT
ELM,REGIONAL ARPT - HORSEHEAD,NY
REN,RENO,NV
RIF,RICHFORT,VT
RCM,RICHMOND,VA
RIO,RIO GRANDE CITY,TX
RIV,RIVERSIDE,CA
RDM,ROBERTS FIELDS - REDMOND,OR
RBT,ROBERTS LANDING,MI
ROC,ROCHESTER,NY
RST,ROCHESTER,MN
ROG,ROGERS ARPT,AR
ROM,ROMA,TX
RIT,ROME,ITALY
RME,ROME,NY
ROO,ROOSVILLE,MT
ROS,ROSEAU,MN
ROU,ROUSES POINT,NY
RUI,RUIDOSO,NM
SAC,SACRAMENTO,CA
SAG,SAGINAW,MI
SAI,SAIPAN,SPN
SNO,SAKON NAKHON #ARPT,THAILAND
SLS,SALINAS,CA
SLC,SALT LAKE CITY,UT
SNA,SAN ANTONIO,TX
SDP,SAN DIEGO,CA
SFR,SAN FRANCISCO,CA
SNJ,SAN JOSE,CA
SAJ,SAN JUAN,PR
SLU,SAN LUIS,AZ
SLI,SAN LUIS OBISPO,CA
SLO,SAN LUIS OBISPO,CA
SLP,SAN LUIS POTOSI #ARPT,MEXICO
SPC,SAN PEDRO,CA
SAN,SAN SALVADOR EL,SALVADOR
SYS,SAN YSIDRO,CA
SNN,SANDERSON,TX
SDY,SANDUSKY,OH
SFB,SANFORD,FL
SAA,SANTA ANA,CA
STR,SANTA TERESA,NM
SRO,SANTANA RAMOS #ARPT,COLOMBIA
SAR,SARLES,ND
SAS,SASABE,AZ
YXE,SASKATOON,CANADA
SSM,SAULT STE. MARIE,MI
SAV,SAVANNAH,GA
SCO,SCOBEY,MT
SEA,SEATTLE,WA
SHA,SHANNON,IRELAND
SSC,SHAW AFB - SUMTER,NC
SHR,SHERWOOD,ND
HIL,SHILLAVO,ETHIOPIA
SKA,SKAGWAY,AK
SBN,SOUTH BEND,IN
SBR,SOUTH BREWER,ME
SPO,SPOKANE,WA
SGF,SPRINGFIELD-BRANSON,MO
STA,ST ALBANS,VT
SAU,ST AUGUSTINE,FL
SGJ,ST AUGUSTINE ARPT,FL
SRL,ST AURELIE,ME
SCL,ST CLAIR,MI
SJO,ST JOHN,ND
STL,ST LOUIS,MO
FPR,ST LUCIE COUNTY,FL
SPA,ST PAMPILE,ME
SPM,ST PAUL,MN
SPE,ST PETERSBURG,FL
STT,ST THOMAS,VI
SNP,ST. PAUL ISLAND,AK
SWF,STEWART - ORANGE CNTY,NY
STO,STOCKTON,CA
FOK,SUFFOLK COUNTY,NY
SUM,SUMAS,WA
SWB,SWANTON VT (BP - SECTOR,HQ
SWE,SWEETGTASS,MT
SYR,SYRACUSE,NY
TAC,TACOMA,WA
TAM,TAMPA,FL
TEC,TECATE,CA
PVD,THEODORE FRANCIS - WARWICK,RI
JAN,THOMPSON FIELD - JACKSON,MS
THO,THOUSAND ISLAND BRIDGE,NY
TKI,TOKEEN,AK
TOL,TOLEDO,OH
TOK,TOROKINA #ARPT PAPUA NEW,GUINEA
TOR,TORONTO,CANADA
TRV,TRAVIS-AFB,CA
TRI,TRI CITY ARPT,TN
PSC,TRI-CITIES - PASCO,WA
TRL,TRIAL CREEK,MT
TRO,TROUT RIVER,NY
MSN,TRUAX FIELD - DANE COUNTY,WI
TUC,TUCSON,AZ
TUL,TULSA,OK
TUR,TURNER,MT
VNB,VAN BUREN,ME
VNY,VAN NUYS,CA
VCB,VANCEBORO,ME
VAN,VANCOUVER,WA
VCV,VANCOUVER,CANADA
VER,VERACRUZ,MEXICO
VIB,VETERAN INTL BRIDGE,TX
VIC,VICTORIA,CANADA
VQS,VIEQUES-ARPT,PR
WAL,WALHALLA,ND
WAR,WARROAD,MN
WSB,WARROAD INTL SPB,MN
WAS,WASHINGTON,DC
WAT,WATERTOWN,NY
WBE,WEST BERKSHIRE,VT
WPB,WEST PALM BEACH,FL
LGW,WEST SUSSEX,ENGLAND
HPN,WESTCHESTER - WHITE PLAINS,NY
WHO,WESTHOPE,ND
WRB,WHIRLPOOL BRIDGE,NY
WHI,WHITETAIL,MT
WHM,WILD HORSE,MT
WND,WILLISTON,ND
WCM,WILLOW CREEK,MT
YIP,WILLOW RUN - YPSILANTI,MI
WIL,WILMINGTON,NC
WLL,WILMINGTON,Invalid State Code
WIN,WINNIPEG,CANADA
WRA,WRANGELL,AK
YOU,YOUNGSTOWN,NY
YSL,YSLETA,TX
YUI,YUMA,AZ
YUM,YUMA,AZ
